 0.000  1.000
 0.200  0.980
 0.400  0.921
 0.600  0.825
 0.800  0.697
 1.000  0.540
 1.200  0.362
 1.400  0.170
 1.600 -0.029
 1.800 -0.227
 2.000 -0.416
 2.200 -0.589
 2.400 -0.737
 2.600 -0.857
 2.800 -0.942
 3.000 -0.990
 3.200 -0.998
 3.400 -0.967
 3.600 -0.897
 3.800 -0.791
 4.000 -0.654
 4.200 -0.490
 4.400 -0.307
 4.600 -0.112
 4.800  0.087
 5.000  0.284
 5.200  0.469
 5.400  0.635
 5.600  0.776
 5.800  0.886
 6.000  0.960
 6.200  0.997
 6.400  0.993
 6.600  0.950
 6.800  0.869
 7.000  0.754
 7.200  0.608
 7.400  0.439
 7.600  0.251
 7.800  0.054
 8.000 -0.146
 8.200 -0.339
 8.400 -0.519
 8.600 -0.679
 8.800 -0.811
 9.000 -0.911
 9.200 -0.975
 9.400 -1.000
 9.600 -0.985
 9.800 -0.930
10.000 -0.839
10.200 -0.714
10.400 -0.561
10.600 -0.385
10.800 -0.194
11.000  0.004
11.200  0.203
11.400  0.393
11.600  0.568
11.800  0.720
12.000  0.844
12.200  0.934
12.400  0.986
12.600  0.999
12.800  0.973
13.000  0.907
13.200  0.806
13.400  0.672
13.600  0.512
13.800  0.331
14.000  0.137
14.200 -0.063
14.400 -0.260
14.600 -0.446
14.800 -0.615
15.000 -0.760
15.200 -0.874
15.400 -0.953
15.600 -0.994
15.800 -0.996
16.000 -0.958
16.200 -0.881
16.400 -0.770
16.600 -0.628
16.800 -0.461
17.000 -0.275
17.200 -0.079
17.400  0.121
17.600  0.316
17.800  0.498
18.000  0.660
18.200  0.796
18.400  0.901
18.600  0.969
18.800  0.999
19.000  0.989
19.200  0.939
19.400  0.852
19.600  0.731
19.800  0.581
20.000  0.408
