Q= 6.23779e-09, q=6.05521e-09, err=9.12912e-11, tol=9.96308e-13, nrec=56
Q= 4.41078e-09, q=4.28168e-09, err=6.45526e-11, tol=7.04496e-13, nrec=57
Q= 3.1189e-09, q=3.0276e-09, err=4.56456e-11, tol=4.98154e-13, nrec=58
Q= 2.20539e-09, q=2.14084e-09, err=3.22763e-11, tol=3.52248e-13, nrec=59
Q= 1.55945e-09, q=1.5138e-09, err=2.28228e-11, tol=2.49077e-13, nrec=60
Q= 1.1027e-09, q=1.07042e-09, err=1.61382e-11, tol=1.76124e-13, nrec=61
Q= 7.79724e-10, q=7.56901e-10, err=1.14114e-11, tol=1.24539e-13, nrec=62
Q= 5.51348e-10, q=5.3521e-10, err=8.06908e-12, tol=8.8062e-14, nrec=63
Q= 3.89862e-10, q=3.78451e-10, err=5.7057e-12, tol=6.22693e-14, nrec=64
Q= 2.75674e-10, q=2.67605e-10, err=4.03454e-12, tol=4.4031e-14, nrec=65
Q= 1.94931e-10, q=1.89225e-10, err=2.85285e-12, tol=3.11346e-14, nrec=66
Q= 1.37837e-10, q=1.33802e-10, err=2.01727e-12, tol=2.20155e-14, nrec=67
Q= 9.74655e-11, q=9.46126e-11, err=1.42643e-12, tol=1.55673e-14, nrec=68
Q= 6.89185e-11, q=6.69012e-11, err=1.00863e-12, tol=1.10078e-14, nrec=69
Q= 4.87327e-11, q=4.73063e-11, err=7.13213e-13, tol=7.78366e-15, nrec=70
Q= 3.44593e-11, q=3.34506e-11, err=5.04317e-13, tol=5.50388e-15, nrec=71
Q= 2.43664e-11, q=2.36532e-11, err=3.56606e-13, tol=3.89183e-15, nrec=72
Q= 1.72296e-11, q=1.67253e-11, err=2.52159e-13, tol=2.75194e-15, nrec=73
Q= 1.21832e-11, q=1.18266e-11, err=1.78303e-13, tol=1.94591e-15, nrec=74
Q= 8.61481e-12, q=8.36265e-12, err=1.26079e-13, tol=1.37597e-15, nrec=75
Q= 6.09159e-12, q=5.91329e-12, err=8.91516e-14, tol=9.72957e-16, nrec=76
Q= 4.30741e-12, q=4.18133e-12, err=6.30397e-14, tol=6.87985e-16, nrec=77
Q= 3.0458e-12, q=2.95664e-12, err=4.45758e-14, tol=4.86479e-16, nrec=78
Q= 2.1537e-12, q=2.09066e-12, err=3.15198e-14, tol=3.43992e-16, nrec=79
Q= 1.5229e-12, q=1.47832e-12, err=2.22879e-14, tol=2.43239e-16, nrec=80
Q= 1.07685e-12, q=1.04533e-12, err=1.57599e-14, tol=1.71996e-16, nrec=81
Q= 7.61449e-13, q=7.39161e-13, err=1.11439e-14, tol=1.2162e-16, nrec=82
Q= 5.38426e-13, q=5.22666e-13, err=7.87996e-15, tol=8.59981e-17, nrec=83
Q= 3.80725e-13, q=3.69581e-13, err=5.57197e-15, tol=6.08098e-17, nrec=84
Q= 2.69213e-13, q=2.61333e-13, err=3.93998e-15, tol=4.2999e-17, nrec=85
Q= 1.90362e-13, q=1.8479e-13, err=2.78599e-15, tol=3.04049e-17, nrec=86
Q= 1.34606e-13, q=1.30666e-13, err=1.96999e-15, tol=2.14995e-17, nrec=87
Q= 9.51811e-14, q=9.23951e-14, err=1.39299e-15, tol=1.52025e-17, nrec=88
Q= 6.73032e-14, q=6.53332e-14, err=9.84995e-16, tol=1.07498e-17, nrec=89
Q= 4.75906e-14, q=4.61976e-14, err=6.96497e-16, tol=7.60123e-18, nrec=90
Q= 3.36516e-14, q=3.26666e-14, err=4.92498e-16, tol=5.37488e-18, nrec=91
Q= 2.37953e-14, q=2.30988e-14, err=3.48248e-16, tol=3.80061e-18, nrec=92
Q= 1.68258e-14, q=1.63333e-14, err=2.46249e-16, tol=2.68744e-18, nrec=93
Q= 1.18976e-14, q=1.15494e-14, err=1.74124e-16, tol=1.90031e-18, nrec=94
Q= 8.4129e-15, q=8.16665e-15, err=1.23124e-16, tol=1.34372e-18, nrec=95
Q= 5.94882e-15, q=5.7747e-15, err=8.70621e-17, tol=9.50153e-19, nrec=96
Q= 4.20645e-15, q=4.08333e-15, err=6.15622e-17, tol=6.7186e-19, nrec=97
Q= 2.97441e-15, q=2.88735e-15, err=4.3531e-17, tol=4.75077e-19, nrec=98
Q= 2.10323e-15, q=2.04166e-15, err=3.07811e-17, tol=3.3593e-19, nrec=99
Q= 1.48721e-15, q=1.44367e-15, err=2.17655e-17, tol=2.37538e-19, nrec=100
Q= 1.05161e-15, q=1.02083e-15, err=1.53905e-17, tol=1.67965e-19, nrec=101
Q= 7.43603e-16, q=7.21837e-16, err=1.08828e-17, tol=1.18769e-19, nrec=102
Q= 5.25806e-16, q=5.10416e-16, err=7.69527e-18, tol=8.39825e-20, nrec=103
Q= 3.71801e-16, q=3.60919e-16, err=5.44138e-18, tol=5.93846e-20, nrec=104
Q= 2.62903e-16, q=2.55208e-16, err=3.84764e-18, tol=4.19912e-20, nrec=105
